,Account,Zip,Hm_Start_Dt,Channel_Type_Cd,Auto_Ship_Ind,Internal_Decor,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,Brand_Rx_Sls_Amt,Gnrc_Rx_Sls_Amt,Os_Gnrc_Rx_Sls_Amt,Otc_Sls_Amt,IS_HID,340B_Active,Profitability,Annual_Dispense_Fee_Total,Macro_PID,Script_Count,Capture_Rate,Specialty_Spend,Specialty_Product_Purchases,Generic,Brand,Generic_Ratio,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Buying_Group_encoded,Chain_Name_encoded,Region_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,3rd_Party_Vendor_encoded,Hospital_Associated_encoded
424,59931,2835,732586,30,1,1,0.0,1,1200.0,0,0,0,1,735318,1,736621,735335,1,1,0,0,1,0.0,0.0,1,208057.0,137889.0,4253.0,47495.0,18420.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,39,2,23,0,1,0,17,34,25,11,0,1,2,22,1,18,15
221,286699,77056,736039,30,0,0,2000.0,0,0.0,0,0,0,0,720624,0,720624,720624,0,1,0,1,0,6.0,3313.43,0,368668.0,350855.0,3036.0,10824.0,3952.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1,43,4,2,0,2,0,0,1,23,7,0,2,8,94,3,18,15
3960,647128,21817,736298,30,0,0,962.0,1,1130.0,1,1,0,0,720624,0,720624,735410,0,1,0,0,0,0.0,0.0,0,271295.0,224005.0,1372.0,31591.0,14327.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,20,2,3,0,1,6,10,22,10,103,4,2,7,72,1,18,15
423,42598,2879,735703,30,1,0,2381.0,1,400.0,1,1,0,0,735923,1,736483,735946,0,1,0,0,0,0.0,0.0,0,310341.0,216801.0,12794.0,62965.0,17782.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,39,1,23,0,1,0,17,37,23,11,0,0,8,22,1,18,15
3412,554686,31322,733826,30,0,1,992.0,1,1200.0,1,0,0,1,720624,0,736157,720624,1,0,0,0,0,0.0,0.0,0,310124.0,229494.0,5572.0,63050.0,12008.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,10,2,13,0,2,0,0,2,23,94,0,0,7,8,1,15,3
381,635565,50536,732556,30,1,1,0.0,1,0.0,1,1,0,1,735372,1,736530,735380,1,1,0,0,0,0.0,0.0,1,229972.0,132159.0,9058.0,73061.0,15694.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,12,2,11,0,0,0,17,38,23,18,0,3,2,98,1,19,3
3968,716372,19973,736607,30,1,0,2500.0,0,0.0,0,0,1,0,720624,0,720624,720624,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,1,8,2,3,0,1,6,10,22,23,103,4,6,8,72,3,18,15
3595,630534,31063,736339,30,1,0,2500.0,1,1200.0,0,0,0,1,736339,1,736620,735759,1,1,0,1,0,5.0,429.2,0,269365.0,188266.0,10573.0,56324.0,14202.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,4,0,2,1,0,1,23,94,1,2,7,4,1,18,15
2380,271071,54929,734280,30,1,1,0.0,1,7529.0,1,1,0,1,736405,1,736627,735331,1,1,0,0,0,0.0,0.0,1,129420.0,87796.0,1012.0,26648.0,13963.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,48,2,10,0,0,0,17,36,40,62,0,1,3,125,0,18,15
933,834509,43756,733443,30,1,0,0.0,1,3600.0,1,1,0,1,735452,1,736619,735303,1,1,0,0,0,0.0,0.0,0,566970.0,419949.0,21981.0,90615.0,34425.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,35,2,16,0,0,0,17,36,23,53,0,1,2,36,1,18,1
2494,496367,68847,733308,30,1,1,0.0,1,705.0,1,1,0,0,735306,1,736596,735317,1,1,0,1,0,5.0,790.67,1,161432.0,115135.0,3042.0,37424.0,5832.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,29,2,11,0,0,0,17,38,23,65,0,4,3,152,1,18,15
225,320349,77479,736335,30,0,0,1500.0,1,1200.0,0,0,0,0,736375,1,720624,720624,1,0,0,1,0,1.0,341.8,0,57759.0,22760.0,20981.0,13220.0,797.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0,43,6,2,0,2,14,17,37,23,7,4,6,7,94,5,18,15
3500,833126,11220,736004,30,0,0,2500.0,0,0.0,0,0,0,0,720624,1,736543,735626,0,0,0,0,0,0.0,0.0,0,73102.0,52295.0,3557.0,10961.0,6290.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0,34,6,15,0,1,0,29,19,23,92,0,6,3,2,3,18,15
4342,343985,10509,736094,30,0,0,2000.0,1,1346.0,1,1,0,0,736533,1,736626,735474,0,1,0,0,0,0.0,0.0,0,101583.0,68354.0,4443.0,20819.0,7968.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,34,2,23,0,1,0,17,34,25,111,0,1,3,2,1,18,15
627,915398,70125,736060,30,0,0,2000.0,0,0.0,0,0,0,0,720624,0,720624,720624,0,0,0,0,0,0.0,0.0,0,36806.0,23290.0,784.0,10670.0,2063.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,1,18,6,2,0,2,0,0,1,23,14,0,6,8,96,3,18,15
4760,972168,48203,736388,30,0,0,1465.0,0,1200.0,0,0,0,0,720624,1,736627,735815,0,0,0,0,0,0.0,0.0,0,306601.0,281086.0,3958.0,16143.0,5414.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0,22,6,8,0,0,0,17,36,40,119,0,6,8,6,2,18,15
2032,414449,15461,736094,30,0,0,2000.0,1,6000.0,0,1,0,0,736378,1,736627,735374,0,1,0,0,1,0.0,0.0,0,139731.0,104281.0,5446.0,25518.0,4486.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0,38,2,25,0,1,0,17,35,23,53,0,2,2,9,1,18,15
3127,25114,94571,734891,30,1,1,811.0,1,1200.0,0,0,0,0,720624,0,720624,720624,1,0,0,0,0,0.0,0.0,0,283502.0,198644.0,8917.0,56795.0,19147.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,1,4,2,21,0,3,9,17,39,23,85,4,3,7,197,1,18,15
166,229274,74015,735801,30,1,0,0.0,1,6000.0,1,1,0,0,720624,0,736621,735464,0,1,0,1,0,1.0,209.94,0,146608.0,115393.0,8260.0,18800.0,4155.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,36,2,17,0,2,16,17,34,31,6,3,1,7,131,0,18,15
1191,114824,33024,735591,30,0,0,2500.0,1,1200.0,0,0,0,0,720624,0,720624,735410,0,1,0,0,0,0.0,0.0,0,133638.0,121457.0,3716.0,4705.0,3760.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,9,6,24,0,2,6,10,22,23,32,4,0,7,29,1,18,15
792,164125,46563,735877,30,0,0,2500.0,1,0.0,0,0,0,0,736451,1,736473,736465,0,1,0,0,0,0.0,0.0,1,3050824.0,2989910.0,6389.0,44863.0,9662.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,15,2,10,1,0,0,10,27,23,20,0,0,2,76,3,18,15
2546,287902,97220,736073,30,0,0,2500.0,0,0.0,0,0,0,0,720624,0,720624,720624,0,1,0,0,0,0.0,0.0,0,48719.0,15524.0,1951.0,30580.0,664.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,37,6,19,0,3,0,17,37,23,67,0,0,8,192,3,18,15
4768,190494,90012,735599,30,0,0,2500.0,0,0.0,0,0,0,0,720624,1,736626,735534,0,1,0,0,0,0.0,0.0,0,242240.0,213590.0,1189.0,23654.0,3808.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,0,4,2,12,0,3,0,17,36,23,120,0,4,2,185,3,18,15
4080,711583,34652,735270,30,0,1,0.0,0,0.0,0,0,0,0,735374,1,736383,735388,0,1,0,0,0,0.0,0.0,0,85469.0,60767.0,2692.0,20699.0,1310.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,1,0,9,2,24,0,2,0,0,1,23,105,0,4,8,40,3,18,15
3893,73689,92618,736279,30,0,0,2000.0,1,1200.0,0,0,0,0,736301,1,736622,736282,0,1,0,1,0,2.0,446.24,0,93491.0,79503.0,4131.0,6734.0,3123.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,4,6,12,0,3,0,17,37,23,102,0,1,8,185,2,18,15
1494,764484,35233,733672,30,1,1,0.0,1,178.0,1,1,0,1,735388,1,736276,735402,1,1,0,0,0,0.0,0.0,0,498722.0,421953.0,768.0,56228.0,19773.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1,0,1,2,4,1,2,1,0,2,23,38,1,1,7,102,1,18,15
2,19901,97471,732616,30,0,1,0.0,1,0.0,1,1,0,1,735488,1,720624,736577,1,1,0,0,0,0.0,0.0,1,151490.0,99796.0,3234.0,41504.0,6956.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,37,2,19,0,3,0,17,39,23,1,0,4,2,183,0,18,15
4640,735854,96756,734515,30,0,1,718.0,1,2800.0,0,0,0,1,735491,1,736593,735417,1,0,0,0,0,0.0,0.0,0,148885.0,107598.0,3881.0,31655.0,5752.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,11,6,9,0,3,0,17,39,23,24,0,0,2,159,0,18,15
4750,721585,48021,736559,30,0,0,2500.0,0,1600.0,0,0,1,0,736585,0,720624,735578,0,0,0,0,0,0.0,0.0,0,109963.0,100539.0,2431.0,5533.0,1459.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0,22,2,8,0,0,7,17,39,23,119,4,6,7,6,3,18,15
2869,655235,52722,735310,30,0,0,1986.0,1,1200.0,0,1,0,1,735320,1,736627,735331,1,0,0,0,0,0.0,0.0,0,235789.0,168562.0,5492.0,56688.0,5046.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,12,6,11,0,0,0,26,51,23,74,0,5,3,137,2,18,15
470,769613,11418,736604,30,0,0,2500.0,0,400.0,0,0,1,0,720624,0,720624,720624,0,0,0,0,0,0.0,0.0,0,102393.0,96444.0,1124.0,1479.0,3346.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,1,34,2,15,0,1,0,29,20,37,11,0,6,8,2,1,18,15
4343,350815,10920,735333,30,1,0,1725.0,0,0.0,0,0,0,1,735381,1,735746,735388,1,1,0,0,0,0.0,0.0,0,45357.0,11805.0,26527.0,3872.0,3153.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,34,0,23,0,1,20,29,20,18,111,4,3,7,2,3,18,15
1817,433738,94611,734543,30,1,1,0.0,1,1200.0,0,1,0,1,735304,1,736248,735402,1,1,0,0,1,0.0,0.0,0,279645.0,214803.0,18808.0,40479.0,5555.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,4,2,21,0,3,0,17,39,23,47,0,4,3,187,0,18,15
4614,304730,93434,735928,30,0,0,2500.0,1,1200.0,0,0,0,0,736278,0,720624,720624,0,1,0,0,0,0.0,0.0,0,26817.0,21916.0,1582.0,1416.0,1903.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,1,4,2,12,0,3,0,17,37,23,0,0,4,8,196,1,15,1
3111,712716,7002,736438,30,0,0,2000.0,1,1000.0,0,0,0,0,736511,1,736521,736207,0,0,0,0,0,0.0,0.0,0,106635.0,87428.0,1833.0,13482.0,3892.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0,31,6,15,0,1,0,29,20,17,84,0,6,8,2,1,18,15
4539,695943,34465,733398,30,1,1,0.0,1,3250.0,1,1,0,1,735435,1,736543,735451,1,1,0,0,0,0.0,0.0,1,151399.0,105521.0,9918.0,28818.0,7143.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0,9,2,24,0,2,0,17,38,23,116,0,1,3,40,0,18,15
3001,197826,84119,735885,30,0,0,1571.0,1,0.0,0,0,0,0,736062,1,736074,736073,0,1,0,0,0,0.0,0.0,0,52690.0,39184.0,2810.0,9301.0,1396.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,44,6,20,0,3,0,17,38,23,79,0,0,8,177,3,18,15
2038,460066,16201,733602,30,1,1,464.0,1,1200.0,0,0,0,0,735529,1,736595,736535,1,1,0,1,0,1.0,138.06,1,405272.0,313608.0,16338.0,66385.0,8940.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,38,2,25,0,1,0,17,39,23,53,0,1,3,9,1,18,15
896,761655,35077,733014,30,1,0,264.0,1,1200.0,0,0,1,1,735520,1,720624,735488,1,1,0,1,0,2.0,167.75,0,138936.0,103194.0,1420.0,29965.0,4357.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,1,2,4,0,2,1,0,1,23,23,1,4,7,102,1,18,15
1814,279008,94117,732765,30,0,1,0.0,0,1200.0,0,0,0,0,720624,0,720624,720624,1,1,0,0,0,0.0,0.0,1,281850.0,242281.0,12224.0,19471.0,7874.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,4,2,21,0,3,0,17,39,23,47,0,1,8,187,0,18,15
136,392406,1463,732967,30,1,1,0.0,1,2400.0,1,1,0,1,735332,1,736194,735295,1,1,0,1,0,2.0,1108.5,1,399087.0,256962.0,8612.0,117927.0,15587.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,19,2,0,0,1,0,17,38,25,5,0,1,3,7,0,18,15
323,787876,48076,735674,30,0,0,2500.0,0,0.0,0,0,0,0,720624,1,736604,735647,0,0,0,0,0,0.0,0.0,0,99680.0,77881.0,1705.0,15477.0,4617.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0,22,6,8,0,0,0,17,36,40,8,0,6,8,6,3,18,15
4572,211586,48532,734617,30,0,1,1509.0,1,1200.0,0,0,0,0,736010,1,736621,735317,1,0,0,0,0,0.0,0.0,0,325.0,0.0,0.0,0.0,325.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0,22,2,8,1,0,11,6,12,23,122,4,2,7,14,1,18,15
2808,181344,37643,735880,30,1,0,1469.0,1,1200.0,0,0,0,0,736392,1,736586,735582,0,1,0,0,0,0.0,0.0,0,139160.0,97296.0,3686.0,35508.0,2670.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,42,2,13,0,2,0,1,6,23,73,0,2,3,32,1,18,15
4517,338511,34787,735529,30,0,0,1752.0,1,1200.0,1,1,0,0,735726,1,736313,735744,1,1,0,0,0,0.0,0.0,0,701495.0,686138.0,2722.0,11339.0,1296.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,1,0,9,2,24,0,2,0,0,2,23,116,0,4,2,35,1,18,15
595,773498,36301,733545,30,1,1,0.0,1,2327.0,1,1,0,1,735350,1,736619,735360,1,1,0,1,0,1.0,926.24,0,264926.0,191662.0,1393.0,51581.0,20291.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,1,2,4,1,2,0,0,2,23,13,0,3,7,86,1,18,15
3607,808298,31516,733724,30,1,1,0.0,1,1200.0,0,1,0,0,720624,0,736614,735488,1,1,0,0,0,0.0,0.0,1,117851.0,87542.0,1548.0,24011.0,4751.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,2,13,0,2,1,0,1,23,94,1,1,7,60,0,18,15
3691,913052,47327,735865,30,0,0,2500.0,1,1060.0,1,1,0,0,720624,1,736619,735402,1,0,0,1,0,10.0,10879.99,0,276147.0,203944.0,5715.0,56335.0,10152.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0,15,2,16,0,0,6,10,27,19,96,4,6,7,43,2,18,15
118,713351,91710,736425,30,0,0,2000.0,1,1200.0,0,0,1,0,736605,1,736620,720624,1,1,0,0,0,0.0,0.0,0,4347.0,2627.0,31.0,1299.0,390.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,4,2,12,0,3,0,17,36,23,4,0,2,8,185,1,18,15
1721,258358,30222,735928,30,0,0,2500.0,1,1200.0,1,1,0,0,720624,0,736626,735464,0,0,0,0,0,0.0,0.0,0,76399.0,48646.0,990.0,18265.0,8499.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0,10,2,4,0,2,0,0,2,23,44,0,6,7,25,1,18,15
3174,389949,81435,736040,30,0,0,2000.0,1,0.0,0,0,0,0,736040,1,735752,736535,0,1,0,0,0,0.0,0.0,0,96443.0,55393.0,12954.0,15206.0,12890.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,5,2,7,0,3,0,17,37,33,86,0,4,8,163,3,18,15
2540,3434,97128,733888,30,0,0,922.0,1,1120.0,1,1,0,1,735572,1,735857,735610,1,1,0,1,0,1.0,0.0,1,291479.0,218568.0,10242.0,53370.0,9299.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,37,2,19,0,3,0,17,39,23,67,0,1,3,192,1,18,15
