Account,Auto_Ship_Ind,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,PQS_Program,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,Internal_Decor,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Chain_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,Hospital_Associated_encoded
418258,0,2378.0,1,958.0,1,1,0,0,1,0,1,0,0,0,0.0,0.0,0,124420.0,5,0,0,0,0,17,2,16,0,0,0,7,75,0,4,3,42,1,2
769629,0,2500.0,1,200.0,0,0,1,0,1,0,1,0,0,0,0.0,0.0,0,141934.0,5,0,1,0,0,34,6,23,0,1,0,20,111,0,6,8,2,1,15
36954,0,1862.0,1,1200.0,0,0,0,1,1,1,1,0,1,0,2.0,273.21,0,199267.0,0,0,1,0,0,35,2,25,0,1,0,37,3,0,0,3,37,1,15
529649,1,0.0,1,1190.0,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0,69401.0,0,0,1,1,1,34,4,15,0,1,0,21,11,0,1,8,2,0,15
712407,0,1653.0,1,200.0,1,1,0,0,1,1,1,0,1,0,8.0,3500.46,0,109732.0,5,0,0,0,0,15,2,16,0,0,0,1,96,0,4,7,28,0,15
249559,0,2500.0,0,0.0,0,0,0,0,1,0,0,0,1,0,1.0,2126.66,0,153038.0,5,4,0,0,0,4,6,12,0,3,0,36,39,0,6,8,185,3,15
400101,1,559.16,1,0.0,1,1,0,0,1,1,1,0,0,0,0.0,0.0,0,657301.0,0,0,1,1,0,4,2,12,0,3,0,36,120,0,1,2,185,1,15
859849,1,436.0,1,1200.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,201855.0,5,0,1,1,0,42,6,14,0,2,0,1,21,0,4,7,126,0,15
941862,1,2500.0,1,0.0,0,0,0,1,1,1,1,1,1,1,3.0,723.48,0,124902.0,5,0,1,0,0,34,2,15,0,1,0,26,19,0,2,3,2,3,15
144378,0,0.0,1,1200.0,1,0,0,1,1,1,1,1,0,0,0.0,0.0,0,163828.0,0,0,1,1,0,42,2,13,0,2,0,2,73,0,2,7,56,0,15
785541,1,0.0,1,3159.0,1,1,0,1,1,1,1,0,0,0,0.0,0.0,1,303900.0,0,0,1,1,0,24,2,22,0,0,0,1,41,0,1,2,87,0,15
721799,0,2500.0,0,1400.0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0,504302.0,5,0,0,0,1,22,2,8,0,0,0,27,20,0,6,8,6,3,15
121113,0,1614.0,1,1200.0,0,0,0,0,1,1,1,0,1,0,2.0,2272.93,0,97096.0,3,0,0,1,0,2,1,14,0,2,0,2,37,0,1,8,142,5,15
693649,1,0.0,1,1200.0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,1,356377.0,0,1,1,1,0,42,2,13,0,2,0,2,73,0,2,8,56,0,15
481408,1,0.0,0,1200.0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0,90319.0,5,3,1,0,0,38,6,25,0,1,0,37,53,0,1,8,9,1,15
179814,0,2500.0,1,0.0,0,0,0,0,1,0,1,0,1,0,1.0,461.0,0,224275.0,1,0,0,0,0,4,2,12,0,3,0,32,97,0,0,2,196,3,15
384842,0,1742.27,1,4800.0,0,0,0,1,1,1,1,0,0,0,0.0,0.0,1,157527.0,5,0,0,1,0,43,2,2,2,2,0,39,15,0,2,3,113,1,15
959852,0,2500.0,0,0.0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,46004.0,5,0,1,0,1,4,6,21,0,3,0,38,69,0,4,8,187,3,15
