Account,Zip,Hm_Start_Dt,Channel_Type_Cd,Auto_Ship_Ind,Internal_Decor,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,Brand_Rx_Sls_Amt,Gnrc_Rx_Sls_Amt,Os_Gnrc_Rx_Sls_Amt,Otc_Sls_Amt,IS_HID,340B_Active,Profitability,Annual_Dispense_Fee_Total,Macro_PID,Script_Count,Capture_Rate,Specialty_Spend,Specialty_Product_Purchases,Generic,Brand,Generic_Ratio,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Buying_Group_encoded,Chain_Name_encoded,Region_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,3rd_Party_Vendor_encoded,Hospital_Associated_encoded
803309,40312,734990,30,0,0,0.0,0,1200.0,0,0,0,0,720624,1,736605,735547,1,0,0,0,0,0.0,0.0,0,117821.0,86191.0,8651.0,16475.0,6503.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,0,17,6,16,0,0,0,17,38,23,106,0,4,2,42,0,18,15
18848,30606,734164,30,0,1,601.0,1,0.0,0,0,0,1,735318,1,736627,735331,1,1,0,1,0,2.0,377.76,0,180462.0,127083.0,4566.0,39663.0,9151.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,2,13,0,2,1,0,2,5,107,1,1,7,25,3,18,15
19522,30549,734164,30,0,1,0.0,1,75.0,1,1,0,0,735414,1,736627,735331,1,1,0,1,0,2.0,334.8,0,139272.0,101167.0,672.0,27225.0,10208.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,2,13,0,2,1,0,2,5,107,1,3,7,25,1,18,15
30573,30021,734961,30,1,1,735.0,1,1160.0,1,1,0,0,720624,0,720624,735488,0,0,0,0,0,0.0,0.0,0,34884.0,22277.0,473.0,10066.0,2066.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,13,0,2,1,0,1,23,107,1,4,7,25,0,18,15
31110,30655,735030,30,1,0,2385.0,1,1200.0,0,0,0,0,735327,1,736542,735335,0,0,0,1,0,1.0,1619.18,0,596117.0,424658.0,14151.0,124840.0,32468.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,13,0,2,1,0,2,23,107,1,1,7,25,1,18,15
31593,30045,735109,30,0,1,0.0,1,1200.0,0,0,0,0,735323,1,720624,735331,0,0,0,0,0,0.0,0.0,0,12773.0,8615.0,104.0,3105.0,949.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,10,2,13,0,2,1,0,1,23,107,1,2,7,25,0,18,15
51706,30501,734521,30,0,1,0.0,0,1200.0,0,0,0,0,735389,1,736466,735402,0,0,0,0,0,0.0,0.0,0,322536.0,235549.0,5011.0,71146.0,10830.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,1,0,10,2,13,0,2,0,0,2,23,107,0,1,8,25,1,18,15
56001,30143,733937,30,1,1,0.0,1,1200.0,1,1,0,0,735332,1,736346,735353,1,1,1,1,0,1.0,377.76,0,351011.0,259796.0,9586.0,69247.0,12382.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,10,2,13,0,2,1,0,2,23,107,1,1,7,25,0,18,15
73775,30248,736419,30,0,0,2000.0,0,0.0,0,0,1,0,736573,1,720624,736577,1,1,0,0,0,0.0,0.0,0,103935.0,84417.0,1516.0,10789.0,7213.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,13,0,2,0,0,1,23,107,0,6,8,25,3,18,15
88863,30014,735470,30,0,0,1216.0,1,1200.0,0,1,0,0,735499,1,736593,735554,1,1,1,0,0,0.0,0.0,1,147892.0,114339.0,4122.0,24073.0,5358.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,1,0,10,2,13,0,2,1,0,2,23,107,1,1,7,25,0,18,15
