,Account,Hm_Start_Dt,Auto_Ship_Ind,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,Internal_Decor,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Chain_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,Hospital_Associated_encoded
4386,801249,734254,1,0.0,1,0.0,1,1,0,0,735312,1,736605,735331,1,0,0,1,0,1.0,530.07,0,342481.0,3,3,1,1,0,34,2,15,0,1,0,20,111,0,3,2,2,1,15
4387,806616,734255,1,0.0,1,193.0,1,1,0,1,720624,1,720624,735331,1,0,0,1,0,3.0,2863.74,0,644739.0,3,3,1,1,0,34,2,15,0,1,0,20,111,0,3,2,2,0,15
4388,810372,734254,1,0.0,1,200.0,1,1,0,1,720624,1,735982,735331,1,0,0,0,0,0.0,0.0,0,237593.0,0,3,1,1,0,34,2,15,0,1,0,20,111,0,3,2,2,1,15
4389,811231,734254,0,0.0,1,0.0,1,1,0,0,735755,1,736558,735764,0,1,0,1,0,1.0,223.12,0,572379.0,3,0,1,1,0,34,2,15,0,1,0,14,111,0,4,3,2,1,15
4390,826902,734254,1,0.0,1,193.0,1,1,0,1,720624,1,735779,735331,1,1,0,0,0,0.0,0.0,0,231876.0,3,0,1,1,0,34,2,23,0,1,0,20,111,0,3,2,2,1,15
4391,857066,734464,0,721.0,1,1190.0,1,1,0,1,735303,1,736348,735311,1,1,0,1,0,1.0,89.31,0,12761.0,5,0,1,1,0,34,2,23,0,1,0,20,111,0,1,3,2,0,15
4392,865338,735913,0,2500.0,0,0.0,0,0,0,0,736005,1,720624,736017,0,0,0,1,0,1.0,277.96,0,94200.0,5,4,0,0,0,6,2,23,0,1,0,37,111,0,6,3,34,3,15
4393,867972,735257,1,0.0,1,1190.0,1,1,0,0,735299,1,736617,735311,1,1,0,0,0,0.0,0.0,1,140241.0,5,0,1,0,0,34,2,23,0,1,0,20,111,0,4,3,2,1,15
4394,914918,734512,1,0.0,1,1014.0,1,0,0,1,735310,1,736627,735317,1,0,0,0,0,0.0,0.0,1,182490.0,5,0,0,1,0,34,2,23,0,1,0,26,111,0,3,3,2,1,15
4395,918783,734697,1,0.0,1,1200.0,0,0,0,1,720624,1,736619,735505,1,0,0,0,0,0.0,0.0,1,98290.0,5,0,1,1,0,34,2,23,0,1,0,21,111,0,1,3,2,1,15
4396,920598,735222,1,808.0,1,0.0,1,1,0,1,735439,1,736549,735474,1,1,1,1,0,1.0,211.53,1,157503.0,5,0,1,0,0,6,2,23,0,1,0,34,111,0,3,2,2,0,15
4397,927830,732883,1,0.0,1,0.0,1,1,1,1,735339,1,736626,735353,1,1,0,1,0,1.0,923.85,1,250624.0,0,0,1,1,0,6,2,23,0,1,0,37,111,0,3,3,34,0,15
4398,931010,735311,0,0.0,0,1200.0,0,0,0,0,735415,1,736621,735435,1,1,1,1,0,1.0,180.02,1,191038.0,5,0,1,0,0,6,2,23,0,1,0,37,111,0,1,3,2,0,15
4399,931117,735445,1,0.0,1,1200.0,1,1,0,1,735513,1,736589,735561,1,1,0,1,0,2.0,926.24,1,512816.0,5,0,1,0,0,6,2,23,0,1,0,34,111,0,1,3,34,0,15
4400,940080,732650,1,0.0,1,1200.0,0,0,0,0,735372,1,736306,735380,1,1,0,0,0,0.0,0.0,1,251332.0,0,0,1,1,0,6,2,23,0,1,0,37,111,0,1,3,34,1,15
