Account,Hm_Start_Dt,Auto_Ship_Ind,Interior_Decor_Signage_Available_Funds,LMS_Enrolled,LMS_Available_Matching_Funds,LMS_Used_Funds_Most_Recent_3_Months,LMS_Used_Funds_Previous_3_Months,Open_Smart,PIP_Program,KYN_Training,PQS_Program,Last_EQuIPP_Login,PQS_Enrolled_Date,SCS_Program,Spar_Coverage_Ind,Specialty_Solutions,Vaccine_Items,Vaccine_Starter,Vaccine_Items_Count,Vaccine_Items_Sls_Amt,YPO,Tot_Sls_Amt,DLC_Program_encoded,FEM_Program_encoded,HM_Circular_Program_encoded,Internal_Decor,PQS_Enrolled_encoded,ST_encoded,Pog_Code_Name_encoded,DC_Name_encoded,Bus_Type_Desc_encoded,Region_encoded,PSAO_Expanded_encoded,Chain_Name_encoded,Salesperson_encoded,AH_Program_encoded,OTC_Front-end_Size_encoded,MRA_Program_Type_-_Active_AH_encoded,Msa_Dma_encoded,Signage_Program_encoded,Hospital_Associated_encoded
274467,735858,0,1858.0,1,0.0,0,0,0,0,736257,1,736507,735582,0,0,0,0,0,0.0,0.0,0,157812.0,5,4,0,0,0,17,4,16,0,0,0,7,75,0,6,2,42,3,15
653093,736320,0,2000.0,1,1200.0,0,0,0,0,736392,1,736604,735417,1,1,0,0,0,0.0,0.0,0,80457.0,1,0,0,0,0,24,2,22,0,0,0,1,31,0,0,3,95,2,10
213210,735641,1,0.0,0,1200.0,0,0,0,0,736056,1,736443,735335,1,1,0,0,0,0.0,0.0,0,65731.0,5,0,1,0,0,16,2,17,1,2,0,38,22,0,1,3,135,0,0
641174,735203,1,1192.0,1,1200.0,0,0,1,1,720624,0,736445,735317,1,0,0,0,0,0.0,0.0,1,95617.0,1,1,1,0,0,48,2,11,0,0,0,38,49,0,0,3,91,0,0
414768,735870,0,2500.0,1,0.0,0,0,0,0,736384,1,736566,735582,0,0,0,1,0,4.0,2560.38,1,214204.0,5,4,0,0,0,17,6,16,0,0,0,7,75,0,6,8,62,3,15
415734,735838,0,2500.0,1,0.0,0,0,0,0,736284,1,736143,736361,1,1,0,0,0,0.0,0.0,0,222986.0,5,0,0,0,0,17,4,16,0,0,0,7,75,0,2,8,62,3,15
415735,735838,0,2358.0,0,0.0,0,0,0,0,720624,1,736143,736361,1,1,0,0,0,0.0,0.0,0,160001.0,1,1,0,0,0,17,6,16,0,0,0,7,75,0,0,8,62,3,15
417935,735850,0,2109.0,1,1200.0,0,0,0,0,736613,0,736473,735582,0,0,0,1,0,2.0,1338.72,0,207208.0,5,0,0,0,0,17,2,16,0,0,0,7,75,0,2,3,42,1,15
418203,735895,0,1975.0,1,1154.0,1,1,0,0,736354,1,736454,735561,0,1,0,0,0,0.0,0.0,0,74184.0,5,3,0,0,0,17,2,16,0,0,0,7,75,0,1,8,16,1,15
418204,736020,0,2500.0,1,1200.0,0,0,0,0,736194,1,736268,735582,0,1,0,0,0,0.0,0.0,0,104149.0,5,0,0,0,0,17,4,16,0,0,0,7,75,0,4,8,62,1,15
828447,732402,1,0.0,1,1200.0,0,0,0,1,735303,1,736570,735311,1,0,0,0,0,0.0,0.0,1,122182.0,0,0,1,1,0,16,2,17,0,2,0,37,54,0,1,3,135,1,0
418580,736060,1,0.0,1,1006.0,1,1,0,0,736256,1,736411,736261,0,1,0,0,1,0.0,0.0,0,69583.0,5,0,2,0,0,17,2,16,0,0,0,7,75,0,1,2,62,0,15
834542,735430,0,2262.0,1,1200.0,0,0,0,0,735432,1,736450,735451,0,0,0,1,1,2.0,138.82,0,152125.0,1,1,0,0,0,16,6,17,0,2,0,38,54,0,0,8,135,2,12
419546,735851,0,1975.0,1,1200.0,0,0,0,0,720624,0,720624,735582,0,1,0,0,0,0.0,0.0,0,46888.0,1,1,0,0,0,17,5,16,0,0,0,6,75,0,0,8,42,2,15
419813,735851,0,1070.0,1,611.0,1,1,0,0,736178,1,736557,735582,0,1,0,1,0,1.0,87.86,0,91855.0,5,0,0,0,0,17,2,16,0,0,0,6,75,0,3,2,16,1,15
421531,735908,0,1975.0,1,0.0,0,0,0,0,720624,0,736496,720624,0,0,0,1,0,1.0,331.14,0,114790.0,5,3,0,0,1,17,2,16,0,0,0,7,75,0,1,2,42,3,15
422121,735895,0,1111.0,1,857.0,1,0,0,0,736131,1,736619,736191,0,1,0,1,0,1.0,2126.66,0,180909.0,5,0,1,0,0,17,2,16,0,0,0,7,75,0,2,3,16,1,15
422122,735893,0,2191.0,1,1040.0,1,0,0,0,720624,1,736619,736191,0,1,0,1,0,3.0,419.28,0,257178.0,5,0,1,0,0,17,2,16,0,0,0,7,75,0,4,3,16,1,15
422175,735893,0,1043.0,1,924.0,1,0,0,0,720624,1,736619,735561,0,1,0,0,0,0.0,0.0,0,231131.0,5,0,1,0,0,17,2,16,0,0,0,7,75,0,1,3,16,1,15
713189,736504,0,1500.0,1,1000.0,0,0,0,0,736059,0,736317,720624,0,0,0,0,0,0.0,0.0,0,54520.0,5,4,0,0,1,29,2,11,0,0,0,36,22,0,6,8,152,1,0
422283,735893,0,1121.0,1,1200.0,1,1,0,0,720624,1,736619,735232,0,1,0,0,0,0.0,0.0,0,542838.0,5,0,1,0,0,17,2,16,0,0,0,7,75,0,3,3,42,1,15
422336,735927,0,1367.0,1,994.0,1,0,0,0,720624,1,736619,735232,0,1,0,1,0,1.0,890.32,0,327650.0,5,0,1,0,0,17,2,16,0,0,0,7,75,0,1,3,42,1,15
423034,735978,0,2024.0,0,0.0,0,0,0,0,736445,1,720624,736465,0,0,0,0,0,0.0,0.0,0,96699.0,5,4,0,0,0,17,4,16,0,0,0,7,75,0,6,8,62,3,15
423356,735857,0,0.0,1,1200.0,0,0,0,0,736196,1,736625,735582,0,1,0,1,0,5.0,2925.02,0,292895.0,5,3,0,0,0,17,6,16,0,0,0,7,75,0,1,2,42,0,15
423732,735864,0,2500.0,1,0.0,0,0,0,0,720624,0,720624,720624,0,1,0,0,0,0.0,0.0,0,167402.0,5,0,1,0,1,17,2,16,0,0,0,7,75,0,1,8,62,3,15
649543,736390,0,0.0,1,0.0,1,1,0,0,736451,1,736585,736458,1,1,1,0,0,0.0,0.0,1,36483.0,1,1,0,0,0,17,2,16,0,0,0,6,75,0,0,8,42,1,15
762168,733381,1,0.0,1,1200.0,0,0,0,0,735636,1,736621,735645,1,1,0,0,0,0.0,0.0,0,550956.0,0,0,1,0,0,17,2,16,0,0,0,34,75,0,4,2,62,0,15
767886,736594,0,2500.0,0,400.0,0,0,1,0,720624,0,736597,736389,1,0,0,1,0,2.0,1791.8,0,80971.0,5,4,0,0,0,35,6,16,0,0,0,6,75,0,6,8,62,3,15
4776,733836,1,0.0,1,1200.0,0,0,0,0,720624,1,736493,735408,1,0,0,0,0,0.0,0.0,0,168459.0,4,3,1,1,0,1,2,4,0,2,1,2,77,1,4,7,102,0,15
5022,733836,1,945.0,1,1200.0,0,0,0,1,735747,1,736493,735408,1,1,0,0,0,0.0,0.0,0,192232.0,0,0,0,1,0,1,2,4,0,2,1,2,77,1,4,7,102,1,15
11824,734961,0,0.0,1,799.0,1,1,0,1,735323,1,736626,735335,1,0,0,0,1,0.0,0.0,0,147181.0,5,0,1,0,0,1,2,4,1,2,0,1,77,0,1,7,102,1,15
15205,734947,1,0.0,1,0.0,1,1,0,0,720624,0,720624,720624,1,0,0,0,0,0.0,0.0,0,186121.0,5,0,1,0,1,1,6,4,0,2,0,1,77,0,4,8,140,0,15
15849,735020,1,980.0,1,1200.0,0,1,0,0,735562,1,735709,735488,0,0,0,0,0,0.0,0.0,0,96004.0,1,1,0,1,0,1,2,4,0,2,1,1,77,1,0,7,140,1,15
19069,735451,1,0.0,1,2400.0,0,0,0,0,720624,0,720624,720624,1,0,0,0,0,0.0,0.0,0,54635.0,5,4,0,0,1,1,2,4,0,2,1,1,77,1,6,7,102,1,15
39709,732321,1,2430.0,1,1200.0,0,0,0,0,720624,1,736590,735317,1,1,0,0,0,0.0,0.0,0,306704.0,3,0,1,1,0,1,2,4,0,2,0,2,77,0,1,3,140,1,15
63286,735342,0,0.0,1,0.0,0,0,0,1,735354,1,736493,735408,1,1,0,0,0,0.0,0.0,0,130483.0,5,0,1,1,0,1,2,4,0,2,1,2,77,1,1,7,102,3,15
63447,735075,1,2305.0,1,1045.0,1,1,0,0,720624,0,736323,735488,0,0,0,0,0,0.0,0.0,0,255367.0,5,0,1,1,0,25,2,4,0,2,0,1,77,0,1,7,132,1,15
85773,735452,0,0.0,1,1200.0,0,0,0,0,720624,0,720624,735488,0,1,0,0,0,0.0,0.0,0,64987.0,5,0,1,0,0,1,2,4,0,2,1,1,77,1,3,7,140,0,15
126631,732555,1,1324.0,1,0.0,1,1,0,1,735334,1,736621,735317,1,1,0,1,0,2.0,2541.19,1,309092.0,0,3,1,1,0,1,2,4,0,2,0,2,77,0,1,3,140,0,15
182632,735794,0,0.0,1,0.0,1,1,0,0,720624,0,720624,720624,0,1,0,0,0,0.0,0.0,0,180113.0,5,0,0,0,1,1,4,4,0,2,0,1,77,0,2,8,140,0,15
190280,732432,1,1062.99,1,1200.0,0,0,0,1,735327,1,736401,735335,1,1,0,1,0,4.0,1583.03,0,378060.0,5,3,1,1,0,1,2,4,2,2,0,2,77,0,1,3,140,1,15
193312,735837,1,0.0,1,0.0,1,1,0,0,720624,0,736403,735820,0,1,0,1,0,4.0,1008.69,0,170089.0,5,0,1,0,0,1,4,4,0,2,1,2,77,1,3,7,140,0,15
200315,735561,1,2500.0,1,877.0,1,0,0,0,735807,1,736627,735638,1,1,0,1,0,3.0,3996.72,1,701654.0,5,3,1,0,0,1,2,4,0,2,0,2,77,0,3,3,140,1,15
302366,735942,0,2500.0,1,1200.0,0,0,0,0,720624,0,736275,735947,0,1,0,0,0,0.0,0.0,0,125435.0,5,0,1,0,0,1,4,4,0,2,1,1,77,1,1,7,102,1,15
310341,733503,1,2308.0,1,1200.0,0,0,0,1,720624,0,720624,735488,1,1,0,0,0,0.0,0.0,0,157563.0,0,0,0,1,0,1,2,4,0,2,1,1,77,1,2,7,102,1,15
312885,735992,0,2500.0,1,200.0,1,0,0,0,720624,0,736237,736004,0,0,0,0,0,0.0,0.0,0,429895.0,5,4,0,0,0,1,6,4,0,2,1,1,77,1,6,7,140,1,15
345247,736041,1,2000.0,1,50.0,1,1,0,0,720624,0,720624,720624,0,0,0,0,0,0.0,0.0,0,289355.0,5,4,0,0,1,1,2,4,0,2,0,1,77,0,6,8,140,1,15
491859,733539,1,1303.0,1,1200.0,0,0,0,0,720624,0,735991,735914,1,1,0,1,0,1.0,211.73,1,272729.0,5,0,1,0,0,1,2,4,0,2,1,1,77,1,1,7,140,1,15
523357,732646,1,1838.56,1,0.0,1,1,0,0,720624,0,736195,735488,1,0,0,1,0,7.0,4349.57,0,303607.0,4,3,1,1,0,1,2,4,0,2,1,1,77,1,4,7,140,1,15
525394,732432,1,0.0,1,1200.0,0,0,0,1,720624,1,736622,735317,1,1,0,0,0,0.0,0.0,0,149097.0,5,0,1,1,0,1,2,4,2,2,0,2,77,0,1,8,140,1,15
